epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,146.411,1.0673,0.73675,1.13845,0.91519,0.93386,0.9657,0.71582,0.93856,0.63993,1.16678,0.001307,0.001307,0.001307
44,149.752,1.05154,0.72808,1.12854,0.99302,0.99471,0.99463,0.78668,0.82295,0.50664,1.06198,0.0012905,0.0012905,0.0012905
45,153.105,1.03147,0.71014,1.11148,0.97483,0.96561,0.99186,0.76982,0.83877,0.53513,1.09759,0.001274,0.001274,0.001274
46,156.448,1.02142,0.70578,1.11881,0.98673,0.98376,0.99029,0.78557,0.78019,0.51832,1.04357,0.0012575,0.0012575,0.0012575
47,159.802,1.05187,0.7149,1.12114,0.94851,0.9747,0.98615,0.74521,0.90917,0.57523,1.1278,0.001241,0.001241,0.001241
48,163.132,0.98974,0.69542,1.08912,0.98657,0.99471,0.99438,0.78996,0.78372,0.48307,1.04862,0.0012245,0.0012245,0.0012245
49,166.495,1.01386,0.68358,1.10879,0.98155,1,0.99429,0.78894,0.81526,0.49429,1.05913,0.001208,0.001208,0.001208
50,169.83,1.0321,0.69522,1.1132,0.99526,0.98413,0.99479,0.76008,0.83419,0.51835,1.06691,0.0011915,0.0011915,0.0011915
51,173.17,0.98723,0.67442,1.09372,0.82494,0.83598,0.82532,0.52381,1.27915,0.88145,1.52762,0.001175,0.001175,0.001175
52,176.499,0.9913,0.6914,1.09369,0.95107,0.97707,0.98554,0.78552,0.78408,0.53179,1.06402,0.0011585,0.0011585,0.0011585
53,179.83,0.97784,0.66151,1.08636,0.98339,1,0.99479,0.82781,0.67952,0.43795,0.99472,0.001142,0.001142,0.001142
54,183.188,0.98248,0.66086,1.08641,0.96405,0.99309,0.99233,0.78141,0.81915,0.50026,1.07086,0.0011255,0.0011255,0.0011255
55,186.529,0.98586,0.65844,1.07288,0.97586,0.9709,0.98972,0.80113,0.76564,0.47892,1.04209,0.001109,0.001109,0.001109
56,189.869,0.96361,0.65104,1.07475,0.97409,1,0.99425,0.80631,0.74303,0.46471,1.00643,0.0010925,0.0010925,0.0010925
57,193.213,0.96074,0.64016,1.07189,0.96026,0.95889,0.98671,0.79165,0.76394,0.49638,1.03271,0.001076,0.001076,0.001076
58,196.539,0.91359,0.61433,1.05454,0.99809,0.98942,0.99484,0.82987,0.68793,0.44564,0.98359,0.0010595,0.0010595,0.0010595
59,199.885,0.91591,0.6216,1.06116,0.9934,0.98942,0.99471,0.80831,0.72373,0.43783,1.00878,0.001043,0.001043,0.001043
60,203.227,0.90562,0.61393,1.04522,0.98997,1,0.99484,0.82321,0.69574,0.43969,0.99693,0.0010265,0.0010265,0.0010265
61,206.561,0.9242,0.61468,1.05229,0.99296,1,0.99497,0.80047,0.74086,0.44168,0.99824,0.00101,0.00101,0.00101
62,209.881,0.90515,0.60013,1.04595,0.99872,1,0.995,0.81086,0.74141,0.4273,1.00434,0.0009935,0.0009935,0.0009935
63,213.213,0.88405,0.5906,1.04099,1,0.99964,0.995,0.81092,0.71254,0.42891,0.99868,0.000977,0.000977,0.000977
64,216.543,0.88704,0.58978,1.03242,0.99735,0.99691,0.99497,0.82695,0.68638,0.42312,0.97485,0.0009605,0.0009605,0.0009605
65,219.892,0.86894,0.58277,1.03458,0.98645,0.98942,0.99391,0.82814,0.70309,0.42974,0.99253,0.000944,0.000944,0.000944
66,223.229,0.88335,0.58984,1.03961,0.99632,1,0.995,0.84844,0.63262,0.40906,0.95233,0.0009275,0.0009275,0.0009275
67,226.607,0.87529,0.58005,1.04085,0.98999,1,0.99457,0.82546,0.6916,0.42761,0.9846,0.000911,0.000911,0.000911
68,229.93,0.83738,0.56246,1.02163,0.98948,0.99554,0.99497,0.85367,0.62383,0.39752,0.95123,0.0008945,0.0008945,0.0008945
69,233.269,0.84715,0.56718,1.02542,0.9993,0.99471,0.995,0.86117,0.58284,0.38435,0.93337,0.000878,0.000878,0.000878
70,236.606,0.82507,0.54919,1.02017,0.97666,1,0.99141,0.85462,0.5924,0.38571,0.92866,0.0008615,0.0008615,0.0008615
71,239.95,0.83707,0.54757,1.01155,0.98782,0.98677,0.99442,0.82458,0.71167,0.41107,0.98942,0.000845,0.000845,0.000845
72,243.282,0.82284,0.53987,1.01188,0.96649,0.98413,0.98614,0.82262,0.67121,0.42674,0.97025,0.0008285,0.0008285,0.0008285
73,246.64,0.81269,0.54249,1.01879,0.99962,1,0.995,0.86327,0.57675,0.36487,0.92506,0.000812,0.000812,0.000812
74,250.015,0.81784,0.52941,1.00793,1,0.99718,0.995,0.85601,0.60187,0.37893,0.9324,0.0007955,0.0007955,0.0007955
75,253.356,0.82308,0.54601,1.00748,0.99961,1,0.995,0.84216,0.6482,0.37847,0.94532,0.000779,0.000779,0.000779
76,256.676,0.78257,0.51827,0.99382,0.99939,1,0.995,0.87136,0.56999,0.37054,0.91825,0.0007625,0.0007625,0.0007625
77,260.03,0.79245,0.52399,0.99734,0.99941,1,0.995,0.86453,0.57713,0.36186,0.91325,0.000746,0.000746,0.000746
78,263.347,0.78873,0.52033,0.99453,0.99341,0.99471,0.99489,0.82552,0.67118,0.38946,0.9572,0.0007295,0.0007295,0.0007295
79,266.677,0.783,0.51002,0.9914,0.9997,1,0.995,0.87712,0.52862,0.35781,0.90533,0.000713,0.000713,0.000713
